name,fan_cost,ac_count,room_count,link_count 
house20165,3957777.77778,1.0,5.0,5.0 
house20166,3351111.11111,2.0,7.0,7.0 
house20167,3091111.11111,1.0,4.0,4.0 
house20168,4362222.22222,3.0,7.0,6.0 
house20169,5373333.33333,3.0,8.0,7.0 
house20170,10400000.0,1.0,9.0,8.0 
house20171,3611111.11111,2.0,8.0,8.0 
house20172,10400000.0,3.0,8.0,4.0 
house20173,10400000.0,3.0,7.0,5.0 
house20174,3091111.11111,2.0,6.0,6.0 
house20175,3437777.77778,2.0,6.0,4.0 
house20176,10400000.0,1.0,7.0,6.0 
house20177,3177777.77778,1.0,5.0,7.0 
house20178,3004444.44444,1.0,5.0,6.0 
house20179,3524444.44444,2.0,8.0,8.0 
house20180,3437777.77778,1.0,6.0,7.0 
house20181,3784444.44444,2.0,9.0,12.0 
house20182,3177777.77778,1.0,4.0,3.0 
house20183,5315555.55556,1.0,9.0,13.0 
house20184,3091111.11111,2.0,6.0,6.0 
house20185,10400000.0,1.0,3.0,1.0 
house20186,4651111.11111,1.0,9.0,10.0 
house20187,2802222.22222,2.0,7.0,9.0 
house20188,10400000.0,1.0,6.0,4.0 
house20189,10400000.0,1.0,6.0,5.0 
house20190,3524444.44444,1.0,5.0,5.0 
house20191,10400000.0,3.0,7.0,6.0 
house20192,3091111.11111,1.0,4.0,4.0 
house20193,3091111.11111,2.0,7.0,8.0 
house20194,10400000.0,1.0,3.0,1.0 
house20195,2773333.33333,3.0,8.0,11.0 
house20196,3697777.77778,1.0,7.0,7.0 
house20197,3177777.77778,1.0,4.0,3.0 
house20198,5315555.55556,2.0,6.0,7.0 
house20199,3177777.77778,2.0,7.0,9.0 
house20200,3437777.77778,1.0,3.0,2.0 
house20201,3264444.44444,1.0,4.0,3.0 
house20202,3091111.11111,2.0,6.0,7.0 
house20203,3957777.77778,2.0,7.0,5.0 
house20204,2975555.55556,1.0,4.0,5.0 
house20205,3784444.44444,3.0,7.0,8.0 
house20206,3264444.44444,2.0,7.0,9.0 
house20207,10400000.0,1.0,5.0,4.0 
house20208,10400000.0,1.0,6.0,5.0 
house20209,5315555.55556,1.0,8.0,11.0 
house20210,10400000.0,2.0,7.0,6.0 
house20211,3177777.77778,2.0,9.0,12.0 
house20212,5315555.55556,1.0,8.0,9.0 
house20213,4391111.11111,1.0,7.0,7.0 
house20214,3611111.11111,2.0,6.0,5.0 
house20215,10400000.0,2.0,7.0,4.0 
house20216,10400000.0,1.0,3.0,1.0 
house20217,3437777.77778,1.0,5.0,6.0 
house20218,10400000.0,2.0,7.0,4.0 
house20219,5315555.55556,2.0,7.0,7.0 
house20220,2773333.33333,2.0,5.0,5.0 
house20221,3611111.11111,2.0,8.0,9.0 
house20222,10400000.0,2.0,5.0,3.0 
house20223,10400000.0,3.0,9.0,4.0 
house20224,3784444.44444,2.0,6.0,6.0 
house20225,5315555.55556,1.0,7.0,8.0 
house20226,10400000.0,3.0,8.0,3.0 
house20227,3091111.11111,2.0,6.0,8.0 
house20228,3524444.44444,2.0,7.0,8.0 
house20229,3351111.11111,2.0,6.0,6.0 
house20230,5315555.55556,1.0,6.0,6.0 
house20231,10400000.0,1.0,5.0,5.0 
house20232,3611111.11111,3.0,7.0,5.0 
house20233,3524444.44444,1.0,6.0,5.0 
house20234,3784444.44444,2.0,6.0,6.0 
house20235,3437777.77778,2.0,6.0,4.0 
house20236,10400000.0,3.0,8.0,9.0 
house20237,3177777.77778,2.0,7.0,9.0 
house20238,3091111.11111,1.0,4.0,5.0 
house20239,3524444.44444,1.0,4.0,4.0 
house20240,10400000.0,4.0,9.0,4.0 
house20241,10400000.0,4.0,9.0,2.0 
house20242,3264444.44444,3.0,8.0,10.0 
house20243,3091111.11111,1.0,4.0,3.0 
house20244,4044444.44444,1.0,6.0,6.0 
house20245,3264444.44444,2.0,8.0,10.0 
house20246,3004444.44444,1.0,3.0,3.0 
house20247,10400000.0,2.0,7.0,6.0 
house20248,3697777.77778,2.0,6.0,7.0 
house20249,3437777.77778,2.0,8.0,10.0 
house20250,3611111.11111,2.0,8.0,7.0 
house20251,3091111.11111,2.0,5.0,6.0 
house20252,10400000.0,2.0,6.0,5.0 
house20253,10400000.0,2.0,8.0,8.0 
house20254,3524444.44444,2.0,5.0,4.0 
house20255,3351111.11111,1.0,7.0,8.0 
house20256,3611111.11111,2.0,7.0,5.0 
house20257,5315555.55556,3.0,10.0,10.0 
house20258,3437777.77778,3.0,8.0,9.0 
house20259,4044444.44444,1.0,6.0,8.0 
house20260,3957777.77778,1.0,6.0,5.0 
house20261,3091111.11111,2.0,5.0,5.0 
house20262,3697777.77778,2.0,6.0,7.0 
house20263,3784444.44444,2.0,7.0,6.0 
house20264,3351111.11111,2.0,6.0,7.0 
house20265,3264444.44444,2.0,7.0,5.0 
house20266,5315555.55556,1.0,6.0,7.0 
house20267,5315555.55556,2.0,8.0,8.0 
house20268,10400000.0,2.0,6.0,3.0 
house20269,10400000.0,2.0,7.0,8.0 
house20270,3351111.11111,1.0,7.0,8.0 
house20271,3437777.77778,3.0,8.0,8.0 
house20272,5315555.55556,1.0,7.0,9.0 
house20273,3611111.11111,1.0,7.0,8.0 
house20274,3871111.11111,1.0,7.0,9.0 
house20275,4217777.77778,1.0,8.0,9.0 
house20276,3437777.77778,1.0,4.0,5.0 
house20277,3091111.11111,1.0,6.0,7.0 
house20278,3004444.44444,1.0,3.0,3.0 
house20279,5315555.55556,2.0,6.0,6.0 
house20280,3264444.44444,2.0,6.0,5.0 
house20281,3091111.11111,2.0,5.0,5.0 
house20282,5315555.55556,1.0,7.0,9.0 
house20283,4477777.77778,2.0,8.0,7.0 
house20284,3264444.44444,3.0,8.0,11.0 
house20285,10400000.0,2.0,7.0,5.0 
house20286,3524444.44444,2.0,5.0,4.0 
house20287,3437777.77778,1.0,5.0,5.0 
house20288,10400000.0,1.0,3.0,1.0 
house20289,3264444.44444,2.0,6.0,6.0 
house20290,5315555.55556,2.0,7.0,7.0 
house20291,5315555.55556,2.0,7.0,6.0 
house20292,3351111.11111,2.0,6.0,4.0 
house20293,3957777.77778,1.0,8.0,8.0 
house20294,3264444.44444,1.0,3.0,3.0 
house20295,5691111.11111,2.0,8.0,9.0 
house20296,10400000.0,2.0,8.0,8.0 
house20297,3871111.11111,1.0,6.0,7.0 
house20298,10400000.0,3.0,7.0,1.0 
house20299,5315555.55556,1.0,8.0,10.0 
house20300,2773333.33333,2.0,5.0,6.0 
house20301,3351111.11111,2.0,8.0,10.0 
house20302,3784444.44444,1.0,6.0,7.0 
house20303,3784444.44444,2.0,6.0,5.0 
house20304,4131111.11111,2.0,7.0,7.0 
house20305,3004444.44444,3.0,8.0,10.0 
house20306,2773333.33333,2.0,5.0,6.0 
house20307,3177777.77778,2.0,7.0,9.0 
house20308,5315555.55556,2.0,7.0,7.0 
house20309,3524444.44444,1.0,7.0,7.0 
house20310,4391111.11111,1.0,5.0,6.0 
house20311,3177777.77778,1.0,7.0,10.0 
house20312,5315555.55556,2.0,7.0,7.0 
house20313,4362222.22222,3.0,7.0,6.0 
house20314,3351111.11111,2.0,5.0,6.0 
house20315,3351111.11111,2.0,8.0,10.0 
house20316,3351111.11111,2.0,8.0,9.0 
house20317,10400000.0,1.0,5.0,3.0 
house20318,3351111.11111,1.0,4.0,5.0 
house20319,10400000.0,1.0,3.0,1.0 
house20320,3177777.77778,1.0,4.0,4.0 
house20321,10400000.0,2.0,6.0,6.0 
house20322,3871111.11111,2.0,6.0,7.0 
house20323,3524444.44444,1.0,4.0,3.0 
house20324,5315555.55556,1.0,7.0,9.0 
house20325,3351111.11111,2.0,8.0,11.0 
house20326,2773333.33333,2.0,5.0,6.0 
house20327,3091111.11111,2.0,7.0,9.0 
house20328,3091111.11111,1.0,5.0,6.0 
house20329,5315555.55556,1.0,6.0,6.0 
house20330,3264444.44444,1.0,5.0,7.0 
house20331,3004444.44444,1.0,4.0,5.0 
house20332,10400000.0,2.0,7.0,4.0 
house20333,3871111.11111,1.0,5.0,6.0 
house20334,10400000.0,2.0,6.0,2.0 
house20335,3091111.11111,1.0,5.0,7.0 
house20336,3524444.44444,4.0,10.0,12.0 
house20337,3697777.77778,2.0,6.0,6.0 
house20338,3784444.44444,3.0,7.0,4.0 
house20339,10400000.0,2.0,5.0,3.0 
house20340,3091111.11111,1.0,3.0,2.0 
house20341,3004444.44444,2.0,7.0,8.0 
house20342,10400000.0,1.0,6.0,5.0 
house20343,3177777.77778,2.0,6.0,7.0 
house20344,3264444.44444,3.0,8.0,8.0 
house20345,3177777.77778,1.0,4.0,5.0 
house20346,10400000.0,2.0,5.0,1.0 
house20347,3784444.44444,2.0,9.0,11.0 
house20348,10400000.0,3.0,8.0,5.0 
house20349,2802222.22222,2.0,5.0,5.0 
