name,fan_cost,ac_count,room_count,link_count 
house0193,10400000.0,1.0,4.0,2.0 
house0194,3004444.44444,3.0,7.0,10.0 
house0195,2773333.33333,1.0,3.0,2.0 
house0196,2773333.33333,3.0,7.0,8.0 
house0197,3177777.77778,1.0,4.0,3.0 
house0198,4131111.11111,3.0,10.0,13.0 
house0199,10400000.0,2.0,5.0,1.0 
house0200,3871111.11111,2.0,8.0,10.0 
house0201,3004444.44444,1.0,3.0,3.0 
house0202,3611111.11111,1.0,6.0,8.0 
house0203,5315555.55556,1.0,5.0,4.0 
house0204,3871111.11111,2.0,7.0,7.0 
house0205,5315555.55556,2.0,7.0,8.0 
house0206,10400000.0,3.0,9.0,8.0 
house0207,10400000.0,3.0,8.0,2.0 
house0208,5315555.55556,1.0,5.0,5.0 
house0209,10400000.0,2.0,7.0,5.0 
house0210,3351111.11111,3.0,9.0,10.0 
house0211,10400000.0,2.0,5.0,3.0 
house0212,3351111.11111,1.0,3.0,2.0 
house0213,10400000.0,2.0,9.0,9.0 
house0214,5633333.33333,2.0,7.0,7.0 
house0215,10400000.0,1.0,6.0,5.0 
house0216,3351111.11111,3.0,7.0,7.0 
house0217,10400000.0,2.0,7.0,7.0 
house0218,2773333.33333,2.0,5.0,4.0 
house0219,3264444.44444,1.0,4.0,5.0 
house0220,3091111.11111,1.0,5.0,6.0 
house0221,10400000.0,2.0,6.0,3.0 
house0222,10400000.0,3.0,8.0,7.0 
house0223,3611111.11111,1.0,6.0,7.0 
house0224,10400000.0,1.0,6.0,4.0 
house0225,3264444.44444,2.0,6.0,5.0 
house0226,2802222.22222,2.0,6.0,6.0 
house0227,5315555.55556,2.0,8.0,7.0 
house0228,5315555.55556,1.0,7.0,7.0 
house0229,3264444.44444,3.0,7.0,5.0 
house0230,10400000.0,1.0,5.0,3.0 
house0231,4304444.44444,1.0,9.0,12.0 
house0232,10400000.0,2.0,6.0,3.0 
house0233,3351111.11111,2.0,8.0,8.0 
house0234,3177777.77778,1.0,3.0,2.0 
house0235,3611111.11111,1.0,6.0,6.0 
house0236,3437777.77778,1.0,5.0,5.0 
house0237,3437777.77778,1.0,5.0,4.0 
house0238,2802222.22222,2.0,6.0,8.0 
house0239,3264444.44444,1.0,5.0,6.0 
house0240,10400000.0,1.0,4.0,3.0 
house0241,3091111.11111,1.0,4.0,5.0 
house0242,5315555.55556,1.0,6.0,7.0 
house0243,5315555.55556,2.0,6.0,6.0 
house0244,3351111.11111,1.0,3.0,2.0 
house0245,5315555.55556,3.0,9.0,10.0 
house0246,10400000.0,4.0,9.0,9.0 
house0247,4217777.77778,2.0,9.0,12.0 
house0248,5373333.33333,2.0,7.0,5.0 
house0249,3091111.11111,1.0,5.0,6.0 
house0250,3062222.22222,1.0,4.0,3.0 
house0251,10400000.0,1.0,6.0,4.0 
house0252,4015555.55556,3.0,8.0,9.0 
house0253,2773333.33333,4.0,9.0,11.0 
house0254,3351111.11111,1.0,4.0,3.0 
house0255,10400000.0,2.0,7.0,5.0 
house0256,5315555.55556,1.0,7.0,9.0 
house0257,3091111.11111,2.0,7.0,6.0 
house0258,10400000.0,1.0,4.0,3.0 
house0259,5315555.55556,1.0,7.0,9.0 
house0260,3177777.77778,2.0,6.0,7.0 
house0261,5315555.55556,1.0,9.0,9.0 
house0262,3177777.77778,2.0,5.0,4.0 
house0263,5315555.55556,2.0,8.0,9.0 
house0264,3264444.44444,1.0,5.0,5.0 
house0265,4131111.11111,1.0,9.0,11.0 
house0266,3351111.11111,2.0,8.0,10.0 
house0267,3177777.77778,2.0,7.0,6.0 
house0268,3611111.11111,1.0,5.0,6.0 
house0269,3264444.44444,2.0,8.0,12.0 
house0270,3062222.22222,1.0,4.0,4.0 
house0271,3177777.77778,1.0,3.0,2.0 
house0272,3351111.11111,3.0,7.0,5.0 
house0273,10400000.0,2.0,6.0,4.0 
house0274,3524444.44444,2.0,6.0,7.0 
house0275,3871111.11111,1.0,8.0,10.0 
house0276,5315555.55556,3.0,9.0,12.0 
house0277,10400000.0,1.0,4.0,2.0 
house0278,3091111.11111,2.0,6.0,7.0 
house0279,4217777.77778,1.0,7.0,9.0 
house0280,5315555.55556,1.0,9.0,8.0 
house0281,3351111.11111,3.0,8.0,9.0 
house0282,10400000.0,1.0,3.0,1.0 
house0283,3062222.22222,1.0,4.0,5.0 
house0284,3437777.77778,1.0,4.0,4.0 
house0285,3264444.44444,1.0,6.0,7.0 
house0286,5315555.55556,1.0,8.0,11.0 
house0287,3091111.11111,1.0,3.0,3.0 
house0288,3264444.44444,1.0,6.0,6.0 
house0289,5315555.55556,1.0,6.0,8.0 
house0290,3264444.44444,1.0,3.0,2.0 
house0291,5315555.55556,2.0,6.0,7.0 
house0292,3091111.11111,2.0,7.0,9.0 
house0293,3264444.44444,2.0,7.0,8.0 
house0294,3264444.44444,1.0,4.0,3.0 
house0295,3264444.44444,1.0,4.0,4.0 
house0296,5315555.55556,2.0,8.0,10.0 
house0297,10400000.0,2.0,7.0,4.0 
house0298,3091111.11111,2.0,7.0,9.0 
house0299,10400000.0,2.0,6.0,6.0 
house0300,3351111.11111,2.0,7.0,8.0 
house0301,3437777.77778,2.0,6.0,6.0 
house0302,3177777.77778,1.0,3.0,2.0 
house0303,3177777.77778,2.0,6.0,7.0 
house0304,3784444.44444,1.0,6.0,7.0 
house0305,3264444.44444,2.0,6.0,8.0 
house0306,5315555.55556,2.0,9.0,10.0 
house0307,3264444.44444,1.0,4.0,4.0 
house0308,3351111.11111,2.0,6.0,5.0 
house0309,3148888.88889,1.0,3.0,3.0 
house0310,10400000.0,3.0,8.0,5.0 
house0311,10400000.0,3.0,8.0,3.0 
house0312,3004444.44444,2.0,6.0,8.0 
house0313,4131111.11111,1.0,6.0,7.0 
house0314,10400000.0,4.0,10.0,6.0 
house0315,4044444.44444,2.0,10.0,9.0 
house0316,3437777.77778,3.0,9.0,10.0 
house0317,3091111.11111,2.0,6.0,7.0 
house0318,3437777.77778,1.0,6.0,6.0 
house0319,10400000.0,2.0,8.0,4.0 
house0320,3784444.44444,1.0,4.0,3.0 
house0321,10400000.0,2.0,5.0,3.0 
house0322,3611111.11111,2.0,7.0,7.0 
house0323,2917777.77778,1.0,3.0,3.0 
house0324,3437777.77778,2.0,6.0,6.0 
house0325,3784444.44444,3.0,7.0,8.0 
house0326,5315555.55556,1.0,8.0,10.0 
house0327,3524444.44444,3.0,9.0,7.0 
house0328,3784444.44444,2.0,6.0,4.0 
house0329,3264444.44444,1.0,5.0,4.0 
house0330,10400000.0,2.0,7.0,7.0 
house0331,2773333.33333,2.0,5.0,6.0 
house0332,3668888.88889,2.0,6.0,5.0 
house0333,3351111.11111,1.0,6.0,7.0 
house0334,5315555.55556,1.0,7.0,9.0 
house0335,3351111.11111,1.0,4.0,5.0 
house0336,3871111.11111,1.0,6.0,7.0 
house0337,5315555.55556,1.0,7.0,8.0 
house0338,3784444.44444,1.0,8.0,8.0 
house0339,3611111.11111,3.0,7.0,9.0 
house0340,3264444.44444,3.0,8.0,10.0 
house0341,10400000.0,1.0,3.0,1.0 
